,exp_theme,exp_condition,sample_og_name,shortd,longd,carbon_source,oxygen_level,nitrate_level,copper_level,lanthanum_level,growth_rate,growth_mode,include?,notes,cluster_id,project,condition,reference_condition,xorder,full_condition_name,replicate,sample,n_replicates
5GB1_FM34_T0_TR1_QC_tpm,Cu,NoCu,5GB1_FM34_T0_TR1_QC,CuT0_QC,"Fermentor run 34, Cu transition, T0 (before Cu) 5.15% FAME",2,1,0,0,0,1,0,1,,7,5G,NoCu,uMax,NoCu,5G_NoCu,1.0,5G_NoCu:1,3.0
5GB1_FM34_T3_TR3_QC_tpm,Cu,medCu,5GB1_FM34_T3_TR3_QC,CuT3_QC,"Fermentor run 34, Cu transition, T3hr (after Cu) 5.49% FAME",2,1,0,2,0,2,0,1,,6,5G,medCu,uMax,medCu,5G_medCu,1.0,5G_medCu:1,7.0
5GB1_FM34_T4_TR3_QC_tpm,Cu,highCu,5GB1_FM34_T4_TR3_QC,CuT4_QC,"Fermentor run 34, Cu transition, T4hr (after Cu) 5.12% FAME",2,1,0,3,0,2,0,1,,5,5G,highCu,uMax,highCu,5G_highCu,1.0,5G_highCu:1,5.0
5GB1_FM34_T5_TR2_QC_tpm,Cu,highCu,5GB1_FM34_T5_TR2_QC,CuT5_QC,"Fermentor run 34, Cu transition, T5hr (after Cu) 5.75% FAME",2,1,0,3,0,2,0,1,,5,5G,highCu,uMax,highCu,5G_highCu,2.0,5G_highCu:2,5.0
5GB1_FM34_T6_TR3_QC_tpm,Cu,highCu,5GB1_FM34_T6_TR3_QC,CuT6_QC,"Fermentor run 34, Cu transition, T6hr (after Cu) 5.71% FAME",2,1,0,3,0,2,0,1,,5,5G,highCu,uMax,highCu,5G_highCu,3.0,5G_highCu:3,5.0
5GB1_FM34_T7_TR3_QC_tpm,Cu,highCu,5GB1_FM34_T7_TR3_QC,CuT7_QC,"Fermentor run 34, Cu transition, T7hr (after Cu) 6.45% FAME",2,1,0,3,0,2,0,1,,5,5G,highCu,uMax,highCu,5G_highCu,4.0,5G_highCu:4,5.0
5GB1_FM34_T8_TR1_QC_tpm,Cu,highCu,5GB1_FM34_T8_TR1_QC,CuT8_QC,"Fermentor run 34, Cu transition, T8hr (after Cu) 6.20% FAME",2,1,0,3,0,2,0,1,,5,5G,highCu,uMax,highCu,5G_highCu,5.0,5G_highCu:5,5.0
5GB1_FM40_T0_TR1_QC_tpm,Cu,NoCu,5GB1_FM40_T0_TR1_QC,CuT0_QC,"Fermentor run 40, Cu transition, T0 (before Cu)",2,1,0,0,0,1,0,1,,7,5G,NoCu,uMax,NoCu,5G_NoCu,2.0,5G_NoCu:2,3.0
5GB1_FM40_T0m_TR2_tpm,Cu,NoCu,5GB1_FM40_T0m_TR2,CuT0m,"Fermentor run 40, Cu transition, T0m before Cu)",2,1,0,0,0,1,0,1,,7,5G,NoCu,uMax,NoCu,5G_NoCu,3.0,5G_NoCu:3,3.0
5GB1_FM40_T10m_TR3_tpm,Cu,lowCu,5GB1_FM40_T10m_TR3,CuT10m,"Fermentor run 40, Cu transition, T10m (after Cu)",2,1,0,1,0,1,0,1,,7,5G,lowCu,uMax,lowCu,5G_lowCu,1.0,5G_lowCu:1,8.0
5GB1_FM40_T10m_TR3_QC_tpm,Cu,lowCu,5GB1_FM40_T10m_TR3_QC,CuT10m_QC,"Fermentor run 40, Cu transition, T10m (after Cu)",2,1,0,1,0,1,0,1,,7,5G,lowCu,uMax,lowCu,5G_lowCu,2.0,5G_lowCu:2,8.0
5GB1_FM40_T150m_TR1_QC_tpm,Cu,medCu,5GB1_FM40_T150m_TR1_QC,CuT150m_QC,"Fermentor run 40, Cu transition, T150m (after Cu)",2,1,0,2,0,2,0,1,,7,5G,medCu,uMax,medCu,5G_medCu,2.0,5G_medCu:2,7.0
5GB1_FM40_T150m_TR1_remake_tpm,Cu,medCu,5GB1_FM40_T150m_TR1_remake,CuT150m,"Fermentor run 40, Cu transition, T150m (after Cu)",2,1,0,2,0,2,0,1,,7,5G,medCu,uMax,medCu,5G_medCu,3.0,5G_medCu:3,7.0
5GB1_FM40_T180m_TR1_tpm,Cu,medCu,5GB1_FM40_T180m_TR1,CuT180m,"Fermentor run 40, Cu transition, T180m (after Cu)",2,1,0,2,0,2,0,1,,6,5G,medCu,uMax,medCu,5G_medCu,4.0,5G_medCu:4,7.0
5GB1_FM40_T180m_TR1_QC_tpm,Cu,medCu,5GB1_FM40_T180m_TR1_QC,CuT180m_QC,"Fermentor run 40, Cu transition, T180m (after Cu)",2,1,0,2,0,2,0,1,,6,5G,medCu,uMax,medCu,5G_medCu,5.0,5G_medCu:5,7.0
5GB1_FM40_T20m_TR2_tpm,Cu,lowCu,5GB1_FM40_T20m_TR2,CuT20m,"Fermentor run 40, Cu transition, T20m (after Cu)",2,1,0,1,0,1,0,1,,7,5G,lowCu,uMax,lowCu,5G_lowCu,3.0,5G_lowCu:3,8.0
5GB1_FM40_T20m_TR2_QC_tpm,Cu,lowCu,5GB1_FM40_T20m_TR2_QC,CuT20m_QC,"Fermentor run 40, Cu transition, T20m (after Cu)",2,1,0,1,0,1,0,0,why ex?,7,5G,lowCu,uMax,lowCu,5G_lowCu,4.0,5G_lowCu:4,8.0
5GB1_FM40_T40m_TR1_tpm,Cu,lowCu,5GB1_FM40_T40m_TR1,CuT40m,"Fermentor run 40, Cu transition, T40m (after Cu)",2,1,0,1,0,1,0,1,,7,5G,lowCu,uMax,lowCu,5G_lowCu,5.0,5G_lowCu:5,8.0
